,Date,Open
21261,2012-08-27,1411.130005
21270,2012-09-10,1437.920044
21275,2012-09-17,1465.420044
21280,2012-09-24,1459.76001
21285,2012-10-01,1440.900024
21290,2012-10-08,1460.930054
21295,2012-10-15,1428.75
21300,2012-10-22,1433.209961
21308,2012-11-05,1414.02002
21313,2012-11-12,1379.859985
21318,2012-11-19,1359.880005
21322,2012-11-26,1409.150024
21327,2012-12-03,1416.339966
21332,2012-12-10,1418.069946
21337,2012-12-17,1413.540039
21342,2012-12-24,1430.150024
21346,2012-12-31,1402.430054
21350,2013-01-07,1466.469971
21355,2013-01-14,1472.050049
21364,2013-01-28,1502.959961
21369,2013-02-04,1513.170044
21374,2013-02-11,1517.930054
21383,2013-02-25,1515.599976
21388,2013-03-04,1518.199951
21393,2013-03-11,1551.150024
21398,2013-03-18,1560.699951
21403,2013-03-25,1556.890015
21407,2013-04-01,1569.180054
21412,2013-04-08,1553.26001
21417,2013-04-15,1588.839966
21422,2013-04-22,1555.25
21427,2013-04-29,1582.339966
21432,2013-05-06,1614.400024
21437,2013-05-13,1632.099976
21442,2013-05-20,1665.709961
21451,2013-06-03,1631.709961
21456,2013-06-10,1644.670044
21461,2013-06-17,1630.640015
21466,2013-06-24,1588.77002
21471,2013-07-01,1609.780029
21475,2013-07-08,1634.199951
21480,2013-07-15,1679.589966
21485,2013-07-22,1694.410034
21490,2013-07-29,1690.319946
21495,2013-08-05,1708.01001
21500,2013-08-12,1688.369995
21505,2013-08-19,1655.25
21510,2013-08-26,1664.290039
21524,2013-09-16,1691.699951
21529,2013-09-23,1711.439941
21544,2013-10-14,1699.859985
21549,2013-10-21,1745.199951
21554,2013-10-28,1759.420044
21559,2013-11-04,1763.400024
21562,2013-11-07,1770.73999
21564,2013-11-11,1769.959961
21569,2013-11-18,1798.819946
21574,2013-11-25,1806.329956
21578,2013-12-02,1806.550049
21588,2013-12-16,1777.47998
21593,2013-12-23,1822.920044
21597,2013-12-30,1841.469971
21601,2014-01-06,1832.310059
21606,2014-01-13,1841.26001
21615,2014-01-27,1791.030029
21620,2014-02-03,1782.680054
21625,2014-02-10,1796.199951
21634,2014-02-24,1836.780029
21639,2014-03-03,1857.680054
21644,2014-03-10,1877.859985
21649,2014-03-17,1842.810059
21654,2014-03-24,1867.670044
21659,2014-03-31,1859.160034
21665,2014-04-08,1845.47998
21669,2014-04-14,1818.180054
21673,2014-04-21,1865.790039
21676,2014-04-24,1881.969971
21678,2014-04-28,1865.0
21683,2014-05-05,1879.449951
21688,2014-05-12,1880.030029
21693,2014-05-19,1876.660034
21702,2014-06-02,1923.869995
21707,2014-06-09,1948.969971
21712,2014-06-16,1934.839966
21717,2014-06-23,1962.920044
21722,2014-06-30,1960.790039
21726,2014-07-07,1984.219971
21736,2014-07-21,1976.930054
21741,2014-07-28,1978.25
21746,2014-08-04,1926.619995
21751,2014-08-11,1933.430054
21756,2014-08-18,1958.359985
21761,2014-08-25,1991.73999
21778,2014-09-18,2003.069946
21780,2014-09-22,2009.079956
21785,2014-09-29,1978.959961
21790,2014-10-06,1970.01001
21795,2014-10-13,1905.650024
21800,2014-10-20,1885.619995
21805,2014-10-27,1962.969971
21810,2014-11-03,2018.209961
21815,2014-11-10,2032.01001
21820,2014-11-17,2038.290039
21825,2014-11-24,2065.070068
21829,2014-12-01,2065.780029
21834,2014-12-08,2074.840088
21839,2014-12-15,2005.030029
21844,2014-12-22,2069.280029
21848,2014-12-29,2087.629883
21852,2015-01-05,2054.439941
21857,2015-01-12,2046.130005
21866,2015-01-26,2050.419922
21871,2015-02-02,1996.670044
21876,2015-02-09,2053.469971
21885,2015-02-23,2109.830078
21890,2015-03-02,2105.22998
21895,2015-03-09,2072.25
21900,2015-03-16,2055.350098
21905,2015-03-23,2107.98999
